"Group","SHA1","ID","Folder","FileName","Title","[Removed]","Sort Title","Version","Year","Publisher","Zone","DumpStatus","Dump Info","Fixed","Trainer","Translation","Pirate","Cracked","Modified","Hack","Extra Parameters"
"Castlevania: Lecarde Chronicles",,2756e987f034866bab2e7435f62ce7555eedc527,,,"ctlc data d",,,,,,,?,,,,,,,,,,,,
"Mortal Kombat Triology",,2761c2625c43554851fa33312f735c444f3b90a1,,,,,,,,,,?,,,,,,,,,,,,
Elastomania,,27bd147b5c1196d8462b7dc4e6d8379b873238c1,,,UNWISE,,,,,,,?,,,,,,,,,,,,
"Warning Forever v1.07",,27fb6ed79bb8e8a31b5b9d0a1a650962244edc0b,,,,,,v1.07,,,,?,,,,,,,,,,,,
Vocaluxe,,286572b03d4b0879d053d469d4e34cde82eb448a,,,gst-discoverer-1.0,,,,,,,,,,,,,,,,,,,
"Yetisports 2: Orca Slap",,28cf0b58fb1048d06c573f49d1b12465896db52e,,,,,,,,,,?,,,,,,,,,,,,
Synchronicity,,2931919dad88d9bd1bf6309360a29bdb1364b58f,,,,,,v1.01,,,,?,,,,,,,,,,,,
illuminator,,2950acf0f50c5e0ce2c871bf0158953149edb5a1,,,,,,,,,,?,,,,,,,,,,,,
"Collapse Dream",,296966b5a14a2b67d6e387f72ff9e21dc0e7f900,,,,,,v1.01,,,,?,,,,,,,,,,,,
"Actua Soccer 3",,296ed41bf687b93dc8733d11fe83c54f5e31ee5d,,,checkver,,,,,,,?,,,,,,,,,,,,
"Really Shooter",,29ede232a78c214ab6b5d20559f8e1c1dda17f36,,,reallyshooter,,,,,,,?,,,,,,,,,,,,
"House of Death",,29f654b565b1d7617446f94f3721ef1f1ad62e59,,,thotd,,,,,,,?,,,,,,,,,,,,
"Beavis & ButtHead Court Chaos",,2a2cf69d0db0aab26a5d38472d84a7af195bc49d,,,BBTDBG,,,,,,,?,,,,,,,,,,,,
"Touhou 11: Subterranean Animism",,2b1ce5fbfd2d4480b709fcfc5e75c280f518a951,,,th11,,,,,,,?,,,,,,,,,,,,
"Touhou 14: Double Dealing Character",,2b220a7981e46b46ea92f0423f783ff6a9064b93,,,custom,,,,,,,?,,,,,,,,,,,,
"eXceed 3rd: Jade Penetrate: Black Package",,2b5c877d80c83aea478e06e3ee2bcc9100c943a6,,,,,,"Black Package",,,,?,,,,,,,,,,,,
"Motocross Madness",,2ba7a81b81b2eb063bde76f7785639e12b1749e6,,,trakedit,,,,,,,?,,,,,,,,,,,,
"Total Devastation Gemix",,2bf40f0fa2ce3599f1d23776bea5dfd659c23593,,,,,,,,,,?,,,,,,,,,,,,
"Comic Shoot Festa",,2c0d1fa5212f1a95617aae80cef6ac35725f64d8,,,,,,v1.0,,,,?,,,,,,,,,,,,
"Dark Vengeance",,2c2570dcdd7e724c54cfe4debc261c67dae9c319,,,setup,,,,,,,?,,,,,,,,,,,,
"Yetisports 3: Seal Bounce",,2c78c59978827850452fb2990b473d790eb93d7a,,,,,,,,,,?,,,,,,,,,,,,
"Apache 95",,2ca72d27c2e589fe5916901c59c6b98f92d63a90,,,MANEDIT,,,,,,,?,,,,,,,,,,,,
MadFather200,,2d17cdfd1897ee3a6960306c865588a62780b709,,,,,,,,,,!,,,,,,,,,,,,
"Vantage Master Online",,2da6f4c591f991fadee24faca9736e7dcb77da90,,,,,,,,,,?,,,,,,,,,,,,
"Hien Legend 2",,2e03759f869d642b12383b54e9b288802b1513e2,,,hien2,,,,,,,?,,,,,,,,,,,,
"I'm OK",,2e12547aad3c8f8dc45409564198491973bc77eb,,,,,,,,,,?,,,,,,,,,,,,
